age,income,engagement_score,visits_per_month,time_on_site,interaction_rate,location,device_type,membership,target
40.0,86890.0,45.4,7.0,1.21,0.56,Urban,Desktop,Free,no
22.0,80781.0,79.19,7.0,13.09,0.31,Rural,Desktop,Free,no
18.0,20000.0,6.14,5.0,8.91,0.96,Suburban,Mobile,Gold,no
19.0,36097.0,19.13,4.0,0.5,0.5,Suburban,Desktop,Free,yes
27.0,76305.0,31.22,5.0,0.5,0.67,Urban,Mobile,Silver,no
34.0,131557.0,55.12,5.0,9.48,1.0,Suburban,Mobile,Free,no
32.0,153553.0,100.0,4.0,40.37,0.16,Rural,Mobile,Gold,yes
49.0,91846.0,26.91,2.0,7.32,1.0,Suburban,Desktop,Gold,no
25.0,143622.0,43.38,6.0,10.16,1.0,Urban,Mobile,Free,no
20.0,84037.0,40.47,5.0,0.5,0.61,Suburban,Mobile,Gold,no
18.0,90084.0,37.82,2.0,0.94,0.83,Urban,Mobile,Free,no
70.0,22774.0,89.85,12.0,12.95,0.0,Rural,Mobile,Gold,yes
24.0,108193.0,32.17,1.0,5.93,1.0,Suburban,Mobile,Silver,no
18.0,100210.0,30.08,5.0,4.24,1.0,Urban,Mobile,Silver,no
56.0,124008.0,40.14,4.0,12.56,1.0,Suburban,Desktop,Free,no
30.0,20000.0,35.02,1.0,0.5,0.0,Suburban,Mobile,Free,no
60.0,66462.0,55.21,5.0,0.5,0.02,Urban,Mobile,Free,no
31.0,21012.0,48.52,5.0,1.02,0.0,Urban,Desktop,Silver,no
37.0,154626.0,87.04,6.0,13.24,0.83,Suburban,Desktop,Free,yes
49.0,102805.0,38.26,3.0,7.75,1.0,Suburban,Mobile,Free,no
27.0,48816.0,21.22,6.0,0.5,0.57,Urban,Mobile,Platinum,yes
19.0,20000.0,6.74,8.0,3.93,0.69,Rural,Desktop,Free,no
25.0,20000.0,9.62,6.0,0.5,0.0,Urban,Mobile,Free,no
36.0,74895.0,46.32,5.0,0.5,0.36,Urban,Desktop,Free,no
43.0,78689.0,41.63,6.0,0.5,0.39,Suburban,Desktop,Silver,no
22.0,113619.0,23.72,7.0,2.01,1.0,Suburban,Mobile,Silver,no
18.0,37229.0,48.88,7.0,8.19,0.33,Urban,Desktop,Free,no
19.0,20000.0,23.82,6.0,0.5,0.0,Rural,Tablet,Free,no
53.0,94977.0,67.07,4.0,6.23,0.32,Urban,Desktop,Gold,yes
18.0,113255.0,36.6,6.0,3.65,1.0,Suburban,Mobile,Free,no
32.0,20000.0,21.06,8.0,0.5,0.0,Rural,Mobile,Platinum,no
18.0,20000.0,0.0,7.0,0.5,0.54,Urban,Desktop,Gold,yes
24.0,39979.0,62.85,3.0,5.95,0.0,Suburban,Mobile,Silver,no
44.0,86663.0,42.01,5.0,1.77,0.63,Suburban,Mobile,Free,no
36.0,20000.0,21.03,8.0,3.05,0.43,Suburban,Mobile,Free,no
30.0,78160.0,38.35,3.0,0.5,0.55,Suburban,Mobile,Silver,no
18.0,20000.0,0.0,6.0,0.5,0.48,Urban,Desktop,Silver,yes
21.0,133465.0,41.7,6.0,8.63,1.0,Suburban,Desktop,Free,no
38.0,24655.0,65.88,2.0,0.5,0.0,Suburban,Mobile,Silver,no
18.0,20000.0,35.35,4.0,0.5,0.06,Rural,Mobile,Silver,yes
44.0,134033.0,84.74,5.0,12.54,0.62,Rural,Mobile,Free,yes
48.0,115235.0,79.99,7.0,10.59,0.44,Rural,Mobile,Gold,yes
22.0,105234.0,39.36,4.0,2.03,0.97,Rural,Desktop,Gold,no
18.0,105725.0,38.47,3.0,1.83,1.0,Suburban,Mobile,Gold,no
48.0,105779.0,91.72,5.0,14.82,0.25,Rural,Mobile,Free,yes
18.0,136711.0,39.82,4.0,7.52,1.0,Suburban,Desktop,Free,no
19.0,25061.0,30.48,3.0,7.31,0.54,Suburban,Desktop,Silver,no
34.0,68733.0,78.28,3.0,7.21,0.0,Suburban,Tablet,Silver,no
36.0,133863.0,43.87,7.0,9.2,1.0,Suburban,Desktop,Silver,no
19.0,98304.0,53.89,3.0,0.5,0.57,Rural,Mobile,Free,no
27.0,24787.0,49.03,5.0,2.53,0.0,Urban,Mobile,Free,no
18.0,112626.0,30.33,9.0,4.36,1.0,Rural,Mobile,Platinum,no
38.0,45564.0,44.78,6.0,6.56,0.35,Suburban,Mobile,Silver,no
31.0,41592.0,13.63,7.0,11.01,1.0,Urban,Desktop,Free,yes
19.0,68773.0,24.44,4.0,0.5,0.68,Urban,Mobile,Gold,no
33.0,20000.0,0.0,8.0,0.5,0.27,Suburban,Mobile,Silver,no
46.0,20000.0,71.37,7.0,0.5,0.0,Suburban,Desktop,Silver,no
18.0,94692.0,38.84,3.0,0.5,0.9,Urban,Mobile,Silver,no
57.0,80654.0,100.0,7.0,17.27,0.0,Suburban,Desktop,Silver,yes
39.0,20000.0,60.31,5.0,0.5,0.0,Rural,Mobile,Free,no
20.0,82766.0,88.15,1.0,12.99,0.16,Suburban,Mobile,Silver,no
24.0,20000.0,45.31,4.0,2.76,0.01,Rural,Mobile,Free,no
28.0,26507.0,5.28,4.0,6.17,0.98,Suburban,Mobile,Free,yes
25.0,137245.0,46.04,0.0,6.99,1.0,Urban,Mobile,Silver,no
42.0,118389.0,47.01,5.0,8.94,1.0,Urban,Mobile,Free,no
18.0,128158.0,31.99,0.0,6.13,1.0,Urban,Tablet,Free,no
58.0,68832.0,35.62,4.0,1.95,0.52,Urban,Desktop,Free,no
43.0,124028.0,98.5,5.0,16.99,0.4,Urban,Tablet,Gold,yes
43.0,110544.0,72.78,5.0,8.08,0.47,Rural,Mobile,Free,yes
36.0,100471.0,30.46,4.0,7.11,1.0,Rural,Mobile,Gold,no
28.0,42766.0,61.49,5.0,5.48,0.0,Suburban,Mobile,Silver,no
60.0,109990.0,100.0,3.0,22.44,0.04,Urban,Desktop,Free,yes
27.0,78029.0,39.89,8.0,0.5,0.53,Urban,Desktop,Free,no
18.0,20000.0,0.0,6.0,8.7,1.0,Rural,Mobile,Gold,yes
44.0,20000.0,36.69,3.0,0.5,0.0,Urban,Mobile,Silver,no
54.0,84735.0,40.29,8.0,2.45,0.62,Urban,Mobile,Gold,no
33.0,37068.0,7.62,5.0,5.11,0.98,Urban,Mobile,Platinum,yes
41.0,141232.0,100.0,4.0,18.55,0.54,Rural,Desktop,Platinum,yes
27.0,156334.0,79.86,10.0,11.28,0.97,Urban,Desktop,Gold,yes
23.0,97170.0,54.32,4.0,3.59,0.64,Suburban,Mobile,Free,no
19.0,40056.0,35.47,7.0,15.43,0.87,Suburban,Desktop,Silver,yes
22.0,20000.0,27.12,5.0,3.23,0.36,Suburban,Desktop,Silver,no
29.0,23893.0,57.96,9.0,0.5,0.0,Suburban,Desktop,Free,no
30.0,108963.0,45.8,3.0,5.89,0.98,Urban,Mobile,Free,no
23.0,125942.0,43.29,5.0,4.19,1.0,Urban,Mobile,Gold,no
29.0,20000.0,0.0,7.0,0.5,1.0,Urban,Mobile,Silver,yes
70.0,20000.0,71.76,8.0,6.75,0.0,Suburban,Mobile,Platinum,yes
18.0,133747.0,26.4,2.0,7.9,1.0,Rural,Mobile,Free,no
19.0,20000.0,0.0,7.0,4.75,1.0,Suburban,Mobile,Free,yes
22.0,20000.0,0.0,3.0,2.94,1.0,Urban,Desktop,Free,yes
23.0,145432.0,65.37,7.0,5.37,0.96,Urban,Mobile,Free,no
37.0,52031.0,4.28,7.0,7.33,1.0,Urban,Mobile,Free,yes
24.0,92384.0,20.83,7.0,1.06,1.0,Suburban,Desktop,Gold,no
56.0,53858.0,93.68,6.0,14.47,0.0,Suburban,Desktop,Free,yes
29.0,20000.0,39.28,4.0,0.5,0.0,Rural,Mobile,Gold,no
69.0,76160.0,100.0,6.0,23.96,0.0,Rural,Mobile,Free,yes
27.0,20000.0,41.74,8.0,0.5,0.0,Rural,Mobile,Silver,no
19.0,39569.0,52.86,5.0,7.12,0.23,Suburban,Mobile,Gold,no
18.0,32610.0,56.27,3.0,4.49,0.02,Urban,Mobile,Free,no
32.0,47906.0,76.46,6.0,3.6,0.0,Rural,Desktop,Free,no
23.0,57279.0,78.9,7.0,7.29,0.0,Urban,Desktop,Silver,no
24.0,148500.0,36.5,5.0,12.31,1.0,Urban,Desktop,Free,no
34.0,62804.0,27.23,7.0,0.5,0.57,Rural,Desktop,Free,no
33.0,31612.0,7.53,6.0,7.37,1.0,Urban,Desktop,Silver,no
34.0,85044.0,37.36,5.0,2.04,0.76,Urban,Desktop,Silver,no
49.0,67012.0,57.8,3.0,0.5,0.01,Urban,Mobile,Free,no
18.0,23453.0,61.59,6.0,0.5,0.0,Suburban,Desktop,Free,no
61.0,69295.0,48.0,7.0,0.5,0.18,Urban,Tablet,Silver,yes
41.0,26063.0,58.12,5.0,0.5,0.0,Urban,Desktop,Silver,no
19.0,20000.0,0.0,4.0,5.22,1.0,Urban,Tablet,Silver,yes
35.0,20000.0,62.68,2.0,0.5,0.0,Suburban,Mobile,Platinum,no
27.0,97328.0,34.82,8.0,4.56,1.0,Rural,Mobile,Free,no
25.0,105276.0,37.54,7.0,5.44,1.0,Rural,Mobile,Free,no
18.0,20000.0,0.0,7.0,0.5,0.82,Urban,Desktop,Gold,yes
27.0,122804.0,48.51,5.0,8.63,1.0,Suburban,Desktop,Free,no
18.0,147100.0,45.63,3.0,10.85,1.0,Rural,Desktop,Silver,no
18.0,111561.0,49.37,3.0,0.5,0.78,Urban,Mobile,Free,no
18.0,32889.0,50.05,8.0,7.67,0.3,Urban,Mobile,Free,yes
30.0,101116.0,46.65,3.0,0.61,0.7,Suburban,Mobile,Free,no
24.0,80779.0,34.7,6.0,0.5,0.7,Suburban,Mobile,Gold,no
39.0,89931.0,24.03,3.0,5.08,1.0,Suburban,Mobile,Free,no
22.0,54822.0,75.69,3.0,7.54,0.0,Urban,Mobile,Free,no
36.0,112778.0,38.3,3.0,6.29,1.0,Suburban,Mobile,Free,no
28.0,26959.0,47.95,8.0,3.77,0.05,Suburban,Mobile,Free,no
30.0,90342.0,17.17,7.0,3.34,1.0,Suburban,Desktop,Free,no
28.0,42799.0,10.13,3.0,3.88,0.97,Suburban,Desktop,Free,yes
42.0,82009.0,44.88,2.0,3.28,0.58,Suburban,Mobile,Free,no
25.0,20000.0,30.98,2.0,0.5,0.0,Urban,Desktop,Free,no
50.0,83221.0,73.6,5.0,8.35,0.16,Suburban,Desktop,Silver,yes
33.0,94049.0,31.11,4.0,4.13,1.0,Suburban,Tablet,Silver,no
45.0,61308.0,92.8,6.0,14.13,0.0,Urban,Desktop,Free,yes
49.0,20800.0,67.2,5.0,0.5,0.0,Rural,Mobile,Free,no
18.0,20000.0,15.35,5.0,3.72,0.67,Suburban,Mobile,Free,no
18.0,50375.0,83.84,4.0,7.38,0.0,Rural,Tablet,Silver,no
18.0,114254.0,28.29,5.0,4.5,1.0,Urban,Desktop,Silver,no
31.0,20000.0,25.92,3.0,0.5,0.0,Suburban,Desktop,Free,no
33.0,86215.0,52.33,4.0,0.5,0.4,Rural,Mobile,Gold,no
43.0,71199.0,79.0,8.0,5.54,0.0,Urban,Desktop,Silver,no
28.0,106642.0,39.98,9.0,5.34,1.0,Suburban,Desktop,Free,no
30.0,20000.0,58.75,5.0,0.5,0.0,Urban,Mobile,Free,no
29.0,20000.0,23.05,7.0,0.5,0.0,Suburban,Desktop,Free,no
31.0,74991.0,40.72,6.0,0.5,0.45,Rural,Tablet,Gold,no
29.0,20000.0,32.09,6.0,0.5,0.0,Urban,Mobile,Free,no
39.0,47066.0,49.16,2.0,0.5,0.0,Urban,Mobile,Silver,no
70.0,59881.0,100.0,3.0,25.01,0.0,Suburban,Desktop,Silver,yes
20.0,38155.0,57.68,1.0,4.11,0.01,Rural,Desktop,Free,no
20.0,120576.0,34.94,4.0,6.74,1.0,Suburban,Mobile,Gold,no
31.0,20000.0,0.0,3.0,11.17,1.0,Urban,Desktop,Silver,yes
61.0,116719.0,100.0,9.0,19.37,0.18,Rural,Mobile,Gold,yes
63.0,74287.0,100.0,5.0,18.89,0.0,Suburban,Mobile,Silver,yes
21.0,20000.0,27.37,5.0,1.87,0.14,Urban,Desktop,Gold,no
33.0,156562.0,62.01,6.0,5.39,1.0,Suburban,Mobile,Free,yes
18.0,96381.0,30.8,8.0,0.5,1.0,Rural,Mobile,Silver,no
18.0,48092.0,36.62,4.0,0.5,0.2,Urban,Tablet,Free,yes
28.0,26809.0,49.96,7.0,3.68,0.0,Suburban,Mobile,Free,no
39.0,71889.0,36.58,8.0,7.94,0.82,Urban,Mobile,Free,yes
70.0,50887.0,82.13,1.0,10.92,0.0,Suburban,Desktop,Silver,yes
44.0,47714.0,76.66,5.0,2.31,0.0,Rural,Mobile,Silver,no
26.0,50422.0,36.74,7.0,9.44,0.71,Rural,Mobile,Platinum,no
36.0,52764.0,91.63,8.0,3.82,0.0,Suburban,Mobile,Free,no
19.0,20000.0,15.36,3.0,0.5,0.0,Urban,Tablet,Free,no
43.0,70458.0,84.53,3.0,11.72,0.0,Suburban,Mobile,Free,yes
22.0,20000.0,0.0,8.0,0.5,0.39,Rural,Mobile,Free,no
25.0,102058.0,25.01,8.0,6.26,1.0,Rural,Mobile,Free,no
67.0,72971.0,75.42,4.0,8.98,0.0,Suburban,Mobile,Free,yes
18.0,33657.0,51.21,5.0,6.57,0.2,Urban,Mobile,Gold,no
18.0,100524.0,29.89,4.0,3.55,1.0,Suburban,Mobile,Free,no
18.0,20000.0,16.06,6.0,0.5,0.0,Suburban,Desktop,Gold,no
29.0,131561.0,33.52,2.0,8.59,1.0,Urban,Mobile,Free,no
31.0,109214.0,45.18,3.0,6.09,1.0,Urban,Mobile,Free,no
18.0,20000.0,0.0,7.0,7.32,1.0,Suburban,Mobile,Free,no
34.0,29283.0,56.29,5.0,3.89,0.0,Rural,Desktop,Silver,no
70.0,58938.0,100.0,4.0,30.0,0.0,Urban,Mobile,Free,yes
18.0,115142.0,33.92,5.0,2.53,1.0,Rural,Tablet,Silver,no
40.0,78607.0,63.97,3.0,12.56,0.5,Urban,Mobile,Silver,no
23.0,105719.0,42.31,4.0,3.3,0.96,Urban,Mobile,Gold,no
19.0,20231.0,50.82,8.0,1.07,0.0,Urban,Tablet,Free,no
18.0,46398.0,62.84,8.0,6.7,0.12,Urban,Desktop,Free,no
69.0,115403.0,100.0,6.0,30.31,0.0,Suburban,Desktop,Silver,yes
32.0,35633.0,23.31,6.0,17.18,1.0,Suburban,Desktop,Silver,yes
26.0,95742.0,31.47,7.0,1.84,1.0,Urban,Desktop,Free,no
18.0,104237.0,37.37,2.0,0.5,0.94,Urban,Mobile,Silver,no
39.0,24118.0,79.05,6.0,0.5,0.0,Urban,Mobile,Silver,no
60.0,74120.0,94.43,5.0,15.03,0.0,Rural,Desktop,Platinum,yes
30.0,102026.0,29.37,5.0,3.61,1.0,Suburban,Mobile,Free,no
18.0,20000.0,37.31,6.0,0.5,0.0,Suburban,Mobile,Silver,no
28.0,170192.0,100.0,5.0,24.41,0.77,Urban,Mobile,Silver,yes
43.0,118357.0,51.22,3.0,5.96,0.91,Urban,Tablet,Free,no
18.0,45338.0,32.79,3.0,0.5,0.32,Urban,Mobile,Free,yes
18.0,51531.0,41.79,8.0,9.63,0.7,Urban,Tablet,Gold,no
18.0,20000.0,9.34,9.0,7.1,0.78,Urban,Desktop,Silver,yes
31.0,87152.0,34.6,5.0,2.39,0.86,Urban,Mobile,Silver,no
70.0,52230.0,100.0,3.0,34.82,0.0,Rural,Tablet,Gold,yes
23.0,123607.0,55.64,4.0,2.09,0.83,Suburban,Mobile,Free,yes
25.0,25181.0,39.29,7.0,1.92,0.15,Urban,Tablet,Silver,no
45.0,108355.0,42.95,7.0,8.11,1.0,Urban,Tablet,Gold,no
18.0,104392.0,45.37,6.0,0.71,0.83,Urban,Mobile,Free,no
28.0,20000.0,35.75,8.0,1.28,0.04,Urban,Mobile,Free,no
18.0,20000.0,0.0,5.0,7.0,1.0,Suburban,Tablet,Platinum,no
39.0,32987.0,0.0,4.0,1.33,1.0,Rural,Tablet,Free,yes
22.0,20000.0,6.37,6.0,1.78,0.68,Rural,Mobile,Free,no
69.0,68653.0,100.0,4.0,24.52,0.0,Rural,Mobile,Free,yes
42.0,102447.0,59.95,7.0,4.6,0.53,Urban,Mobile,Free,no
46.0,20000.0,52.97,4.0,0.5,0.0,Rural,Mobile,Gold,no
60.0,144047.0,100.0,6.0,20.12,0.46,Suburban,Mobile,Free,yes
61.0,110892.0,100.0,1.0,34.58,0.0,Suburban,Mobile,Free,yes
30.0,125622.0,34.54,5.0,9.22,1.0,Suburban,Mobile,Free,no
58.0,77312.0,74.07,7.0,7.85,0.04,Urban,Mobile,Free,yes
18.0,20000.0,0.0,5.0,0.5,0.92,Urban,Mobile,Free,yes
18.0,20000.0,0.0,4.0,0.5,0.85,Rural,Mobile,Silver,yes
18.0,25296.0,38.15,8.0,5.21,0.34,Urban,Mobile,Platinum,no
51.0,20000.0,58.82,4.0,0.5,0.0,Urban,Tablet,Free,no
65.0,58746.0,100.0,5.0,18.75,0.0,Urban,Mobile,Gold,yes
18.0,20000.0,33.59,2.0,5.38,0.39,Urban,Mobile,Silver,no
24.0,20000.0,0.0,4.0,5.35,1.0,Urban,Desktop,Silver,yes
18.0,78623.0,45.36,4.0,0.5,0.38,Suburban,Mobile,Silver,no
27.0,90644.0,32.86,8.0,2.59,0.96,Suburban,Mobile,Free,no
38.0,86726.0,21.71,4.0,5.93,1.0,Urban,Desktop,Gold,no
54.0,23755.0,0.0,3.0,8.63,1.0,Urban,Mobile,Free,yes
18.0,88429.0,31.75,6.0,0.5,0.89,Suburban,Mobile,Gold,no
62.0,42302.0,52.65,5.0,0.6,0.0,Suburban,Desktop,Free,yes
55.0,91453.0,93.7,6.0,15.13,0.05,Urban,Desktop,Silver,yes
24.0,96979.0,22.8,4.0,5.68,1.0,Urban,Desktop,Silver,no
27.0,91455.0,20.36,4.0,4.17,1.0,Suburban,Mobile,Silver,no
18.0,104541.0,38.23,4.0,1.74,1.0,Urban,Desktop,Free,no
22.0,90830.0,28.44,5.0,0.5,0.95,Urban,Desktop,Silver,no
41.0,45199.0,3.36,4.0,9.87,1.0,Urban,Mobile,Free,yes
23.0,84345.0,44.48,2.0,0.5,0.58,Rural,Mobile,Free,no
29.0,70253.0,91.01,8.0,6.29,0.0,Suburban,Desktop,Silver,no
18.0,42079.0,68.41,-0.0,5.4,0.0,Suburban,Desktop,Silver,no
22.0,20000.0,43.58,7.0,3.59,0.05,Suburban,Desktop,Silver,no
20.0,20000.0,9.88,7.0,1.52,0.59,Rural,Desktop,Free,no
39.0,71000.0,38.86,5.0,0.5,0.5,Suburban,Tablet,Free,no
46.0,114887.0,100.0,4.0,19.58,0.23,Suburban,Mobile,Gold,yes
34.0,176206.0,100.0,8.0,24.49,0.83,Suburban,Tablet,Free,yes
68.0,67489.0,89.9,10.0,13.38,0.0,Suburban,Desktop,Free,yes
29.0,134918.0,38.3,7.0,10.4,1.0,Suburban,Desktop,Free,no
29.0,21044.0,35.92,3.0,3.03,0.2,Urban,Mobile,Silver,no
18.0,77092.0,23.73,5.0,2.26,1.0,Suburban,Mobile,Free,no
21.0,98161.0,37.37,7.0,1.96,0.94,Rural,Desktop,Free,no
34.0,20000.0,40.65,8.0,0.5,0.0,Rural,Mobile,Free,no
18.0,108154.0,28.81,6.0,2.66,1.0,Suburban,Mobile,Silver,no
18.0,88450.0,19.8,4.0,0.5,1.0,Rural,Desktop,Free,no
23.0,20000.0,0.0,1.0,0.5,0.78,Suburban,Desktop,Silver,yes
29.0,24262.0,52.58,2.0,0.5,0.0,Rural,Desktop,Platinum,no
63.0,37568.0,88.14,6.0,12.6,0.0,Suburban,Mobile,Free,yes
50.0,74202.0,84.68,7.0,11.7,0.0,Urban,Tablet,Silver,yes
18.0,20000.0,0.0,6.0,0.5,0.17,Suburban,Mobile,Free,no
70.0,88020.0,100.0,6.0,26.02,0.0,Urban,Mobile,Free,yes
29.0,128958.0,44.36,5.0,9.78,1.0,Urban,Mobile,Gold,no
23.0,26636.0,14.0,5.0,6.69,0.85,Suburban,Desktop,Free,no
54.0,101360.0,100.0,6.0,26.94,0.0,Suburban,Mobile,Gold,yes
35.0,105610.0,69.13,6.0,7.27,0.5,Urban,Mobile,Free,yes
70.0,99096.0,100.0,5.0,25.32,0.0,Urban,Mobile,Silver,no
62.0,125965.0,100.0,2.0,21.6,0.23,Urban,Mobile,Free,yes
18.0,34216.0,34.37,7.0,8.28,0.64,Suburban,Mobile,Gold,no
32.0,20000.0,1.76,-0.0,0.5,0.18,Urban,Desktop,Silver,no
29.0,50146.0,68.9,6.0,6.44,0.0,Rural,Mobile,Free,no
26.0,33573.0,62.42,3.0,2.08,0.0,Urban,Tablet,Platinum,no
18.0,139920.0,23.13,6.0,12.13,1.0,Urban,Mobile,Gold,no
20.0,20000.0,22.68,6.0,3.63,0.42,Suburban,Desktop,Gold,no
18.0,20000.0,24.41,5.0,5.12,0.45,Urban,Desktop,Free,no
29.0,35505.0,39.73,6.0,3.0,0.27,Suburban,Mobile,Free,no
36.0,127424.0,31.81,3.0,10.99,1.0,Rural,Desktop,Free,no
18.0,20000.0,0.0,5.0,0.5,0.49,Rural,Mobile,Gold,yes
37.0,42786.0,5.32,2.0,0.5,0.78,Suburban,Desktop,Free,yes
25.0,20000.0,0.0,5.0,0.5,0.25,Suburban,Mobile,Free,no
29.0,40165.0,9.54,5.0,0.64,0.84,Urban,Mobile,Platinum,yes
33.0,20000.0,62.4,5.0,0.5,0.0,Rural,Desktop,Free,no
65.0,119976.0,100.0,2.0,24.42,0.07,Suburban,Mobile,Silver,yes
22.0,26927.0,0.25,4.0,0.5,0.63,Urban,Mobile,Silver,yes
22.0,65531.0,22.66,5.0,0.5,0.75,Rural,Mobile,Free,no
30.0,157792.0,38.18,5.0,15.21,1.0,Urban,Tablet,Silver,no
19.0,83298.0,25.6,9.0,1.1,1.0,Suburban,Desktop,Free,no
45.0,71991.0,41.98,6.0,0.55,0.44,Rural,Mobile,Silver,no
48.0,61340.0,80.33,6.0,3.83,0.0,Suburban,Desktop,Free,no
18.0,60244.0,62.15,3.0,12.99,0.47,Urban,Mobile,Free,no
31.0,45665.0,79.45,5.0,3.13,0.0,Urban,Desktop,Free,no
18.0,29682.0,44.05,5.0,5.17,0.26,Urban,Desktop,Silver,no
41.0,114725.0,100.0,9.0,21.18,0.21,Rural,Mobile,Silver,yes
30.0,20000.0,52.68,3.0,0.5,0.0,Suburban,Desktop,Gold,no
34.0,29924.0,56.53,0.0,0.5,0.0,Rural,Tablet,Free,no
18.0,20000.0,3.0,5.0,15.33,1.0,Urban,Mobile,Gold,yes
26.0,20000.0,34.23,3.0,0.5,0.0,Suburban,Desktop,Free,no
27.0,74626.0,30.0,4.0,0.51,0.78,Urban,Mobile,Silver,no
47.0,108138.0,47.04,7.0,9.41,0.99,Suburban,Mobile,Free,no
18.0,20000.0,24.32,4.0,0.5,0.0,Urban,Desktop,Silver,no
26.0,27012.0,50.42,7.0,2.3,0.0,Suburban,Desktop,Silver,no
51.0,125335.0,98.49,5.0,17.14,0.38,Suburban,Desktop,Silver,yes
28.0,20000.0,41.11,5.0,0.5,0.0,Suburban,Mobile,Free,no
47.0,151579.0,59.28,6.0,4.44,1.0,Urban,Desktop,Free,yes
30.0,20000.0,75.12,4.0,0.74,0.0,Suburban,Desktop,Silver,no
26.0,20000.0,0.0,7.0,1.53,1.0,Suburban,Mobile,Free,yes
29.0,69437.0,68.02,5.0,11.36,0.33,Urban,Tablet,Platinum,no
70.0,86425.0,100.0,4.0,24.95,0.0,Urban,Mobile,Silver,yes
23.0,104941.0,49.0,6.0,2.56,0.79,Urban,Desktop,Free,no
22.0,80257.0,43.33,5.0,0.5,0.5,Urban,Mobile,Free,no
55.0,143129.0,100.0,7.0,34.09,0.13,Suburban,Tablet,Silver,yes
48.0,139225.0,89.53,7.0,14.56,0.63,Suburban,Mobile,Free,yes
18.0,57118.0,48.52,6.0,13.7,0.76,Suburban,Mobile,Silver,no
18.0,99693.0,47.2,8.0,2.71,0.83,Suburban,Mobile,Gold,no
43.0,112330.0,50.35,1.0,4.97,0.84,Rural,Tablet,Free,no
33.0,159353.0,86.82,6.0,13.62,0.92,Rural,Desktop,Free,yes
20.0,20000.0,0.0,8.0,0.5,0.62,Suburban,Mobile,Silver,yes
18.0,53951.0,49.85,5.0,12.91,0.69,Urban,Mobile,Free,no
39.0,61767.0,33.07,6.0,0.5,0.4,Urban,Mobile,Silver,no
33.0,130594.0,99.94,7.0,17.75,0.5,Rural,Desktop,Silver,yes
44.0,20000.0,21.21,5.0,0.5,0.11,Urban,Tablet,Free,no
26.0,95459.0,41.02,5.0,3.18,0.86,Suburban,Mobile,Free,no
57.0,129694.0,100.0,-0.0,32.44,0.01,Rural,Mobile,Free,yes
34.0,88165.0,49.12,7.0,0.5,0.44,Urban,Mobile,Gold,no
28.0,89355.0,68.41,4.0,6.41,0.36,Rural,Desktop,Silver,yes
25.0,59097.0,59.74,3.0,11.32,0.41,Urban,Mobile,Free,no
24.0,110605.0,35.0,4.0,5.67,1.0,Urban,Mobile,Free,no
35.0,119135.0,55.21,5.0,4.16,0.81,Suburban,Desktop,Platinum,no
39.0,27688.0,55.92,3.0,0.5,0.0,Urban,Mobile,Free,no
39.0,27498.0,70.59,4.0,0.5,0.0,Rural,Mobile,Free,no
54.0,88124.0,85.78,3.0,12.34,0.09,Urban,Mobile,Free,yes
25.0,20000.0,56.13,10.0,0.5,0.0,Urban,Desktop,Gold,no
40.0,105460.0,100.0,2.0,11.65,0.0,Urban,Desktop,Silver,no
18.0,93921.0,39.67,6.0,0.5,0.82,Urban,Desktop,Free,no
25.0,123925.0,43.73,5.0,6.97,1.0,Suburban,Mobile,Free,no
34.0,20000.0,37.06,2.0,1.88,0.1,Rural,Desktop,Free,no
32.0,74215.0,26.64,7.0,1.04,0.84,Suburban,Desktop,Free,no
24.0,96146.0,21.64,10.0,4.66,1.0,Suburban,Mobile,Gold,no
18.0,60212.0,73.9,2.0,11.42,0.2,Urban,Mobile,Silver,no
58.0,126866.0,100.0,5.0,26.43,0.13,Urban,Mobile,Silver,yes
30.0,71502.0,21.66,5.0,3.72,1.0,Suburban,Desktop,Gold,no
29.0,20000.0,0.0,6.0,0.5,1.0,Urban,Desktop,Free,yes
51.0,143251.0,90.73,6.0,14.75,0.63,Urban,Desktop,Free,yes
34.0,67332.0,47.28,3.0,0.84,0.34,Urban,Mobile,Free,no
20.0,116789.0,44.23,0.0,4.81,1.0,Urban,Mobile,Silver,no
37.0,132563.0,51.01,8.0,1.29,0.93,Urban,Mobile,Free,yes
18.0,40273.0,15.29,4.0,14.25,1.0,Rural,Desktop,Platinum,no
36.0,64270.0,43.82,7.0,0.5,0.2,Rural,Mobile,Free,no
43.0,101700.0,93.36,8.0,14.95,0.21,Suburban,Mobile,Free,yes
31.0,115174.0,44.74,5.0,6.0,1.0,Urban,Mobile,Free,no
18.0,20000.0,26.27,5.0,0.5,0.0,Suburban,Mobile,Free,no
23.0,20000.0,40.39,4.0,2.94,0.05,Rural,Desktop,Gold,no
36.0,42454.0,57.86,4.0,2.2,0.0,Suburban,Mobile,Free,no
18.0,20000.0,12.81,7.0,10.05,0.86,Urban,Mobile,Free,yes
33.0,20000.0,27.8,3.0,0.5,0.0,Urban,Mobile,Silver,yes
18.0,20000.0,40.87,4.0,0.5,0.0,Suburban,Mobile,Free,no
18.0,20000.0,0.37,3.0,1.53,0.67,Suburban,Desktop,Free,no
18.0,92468.0,35.69,6.0,0.5,0.84,Rural,Mobile,Gold,no
31.0,20000.0,38.63,5.0,2.65,0.09,Urban,Desktop,Free,no
33.0,42036.0,67.65,8.0,3.05,0.0,Suburban,Mobile,Free,no
